标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
青白江区祥福镇桂通村2组，万年村1、9、11组,地块编号：QBJ2015-37,四川,成都,97419,97419,97419,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区祥福镇桂通村2组，万年村1、9、11组,青白江区祥福镇桂通村2组，万年村1、9、11组,工业用地,已成交,成都中电锦江信息产业有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,2338万元,2338万元,240元,暂无,青白江区祥福镇桂通村2组，万年村1土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,500万元,暂无
青白江区货运大道以北、散货东路以东,地块编号：QBJ2015-66,四川,成都,146159,146159,146159,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,50年,青白江区货运大道以北、散货东路以东,青白江区货运大道以北、散货东路以东,仓储用地,已成交,四川博川物流有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,7016万元,7016万元,480元,暂无,青白江区货运大道以北、散货东路以东土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,1450万元,暂无
青白江区祥福镇民强村7组,地块编号：QBJ2015-70,四川,成都,18853,18853,18853,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区祥福镇民强村7组,青白江区祥福镇民强村7组,工业用地,已成交,百利威现代供应链（成都）有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,905万元,905万元,480元,暂无,青白江区祥福镇民强村7组土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,200万元,暂无
青白江区祥福镇民强村2、3、6组,地块编号：QBJ2015-53号,四川,成都,46099,46099,46099,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区祥福镇民强村2、3、6组,青白江区祥福镇民强村2、3、6组,工业用地,已成交,四川华工石油装备有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,1106万元,1106万元,240元,暂无,青白江区祥福镇民强村2、3、6组土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,250万元,暂无
金堂县官仓镇白马泉村,地块编号：JT2015-11(252),四川,成都,62390,62390,112302,暂无,＞1，≤1.8,暂无,暂无,≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地?40年,金堂县官仓镇白马泉村,金堂县官仓镇白马泉村,城镇混合住宅用地,已成交,港中旅海泉湾(成都)置业有限公司,2015/12/3,2015/12/3,2015/12/3,成都市高新区天府大道北段966号天府国际金融中心7号楼,3931万元,3931万元,350元,暂无,金堂县官仓镇白马泉村土地公告,http://industrydown.fang.com/tudi/20151111/chenggongzitupaigao[2015]51hao.docx,028-85987887,990万元,暂无
金堂县官仓镇白马泉村,地块编号：JT2015-10(252),四川,成都,57587,57587,103657,暂无,＞1，≤1.8,暂无,暂无,≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地?40年,金堂县官仓镇白马泉村,金堂县官仓镇白马泉村,城镇混合住宅用地,已成交,港中旅海泉湾(成都)置业有限公司,2015/12/3,2015/12/3,2015/12/3,成都市高新区天府大道北段966号天府国际金融中心7号楼,3628万元,3628万元,350元,暂无,金堂县官仓镇白马泉村土地公告,http://industrydown.fang.com/tudi/20151111/chenggongzitupaigao[2015]51hao.docx,028-85987887,910万元,暂无
青白江区大同镇西林村6、10、11组,地块编号：QG2014-53,四川,成都,20000,20000,20000,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区大同镇西林村6、10、11组,青白江区大同镇西林村6、10、11组,工业用地,已成交,成都丹翔电器设备有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,555万元,555万元,278元,暂无,青白江区大同镇西林村6、10、11土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,200万元,暂无
金堂县官仓镇白马泉村,地块编号：JT2015-12(252),四川,成都,47110,47110,84798,暂无,＞1，≤1.8,暂无,暂无,≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地?40年,金堂县官仓镇白马泉村,金堂县官仓镇白马泉村,城镇混合住宅用地,已成交,港中旅海泉湾(成都)置业有限公司,2015/12/3,2015/12/3,2015/12/3,成都市高新区天府大道北段966号天府国际金融中心7号楼,2968万元,2968万元,350元,暂无,金堂县官仓镇白马泉村土地公告,http://industrydown.fang.com/tudi/20151111/chenggongzitupaigao[2015]51hao.docx,028-85987887,750万元,暂无
青白江区大弯街道黄金村4组，大同镇西林村2组,地块编号：QBJ2015-30,四川,成都,22176,22176,22176,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区大弯街道黄金村4组，大同镇西林村2组,青白江区大弯街道黄金村4组，大同镇西林村2组,工业用地,流拍,暂无,2015/11/19,2015/12/3,暂无,青白江区公共资源交易服务中心,592万元,暂无,暂无,暂无,青白江区大弯街道黄金村4组，大同镇土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,200万元,暂无
青白江区青白江大道以西、复兴大道以南,地块编号：QBJ2015-68,四川,成都,44679,44679,44679,暂无,＞1,≤20,暂无,≥35,暂无,挂牌,50年,青白江区青白江大道以西、复兴大道以南,青白江区青白江大道以西、复兴大道以南,仓储用地,流拍,暂无,2015/11/19,2015/12/3,暂无,青白江区公共资源交易服务中心,2145万元,暂无,暂无,暂无,青白江区青白江大道以西、复兴大道以土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,450万元,暂无
锦江区一环路以东，东大街以南,地块编号：JJ08(21/252):2015-078,四川,成都,30410,30410,273690,暂无,≤9,暂无,≥60,≤40,≤183,拍卖,商业用地40年，住宅用地?70年,锦江区一环路以东，东大街以南,锦江区一环路以东，东大街以南,商服用地，城镇混合住宅用地,流拍,暂无,2015/12/3,2015/12/3,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,190214万元,暂无,暂无,暂无,锦江区一环路以东，东大街以南土地公告,http://industrydown.fang.com/tudi/20151111/chenggongzitupaigao[2015]51hao.docx,028-85987887,48000万元,暂无
青白江区祥福镇民强村9组,地块编号：QBJ2015-71,四川,成都,46836,46836,46836,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区祥福镇民强村9组,青白江区祥福镇民强村9组,工业用地,已成交,百利威现代供应链（成都）有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,2248万元,2248万元,480元,暂无,青白江区祥福镇民强村9组土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,450万元,暂无
青白江区大同镇一心村4、8组,地块编号：QBJ2015-77号,四川,成都,20212,20212,20212,暂无,＞1,≤20,暂无,≥40,暂无,挂牌,50年,青白江区大同镇一心村4、8组,青白江区大同镇一心村4、8组,工业用地,已成交,巨石集团成都有限公司,2015/11/19,2015/12/3,2015/12/3,青白江区公共资源交易服务中心,485万元,485万元,240元,暂无,青白江区大同镇一心村4、8组土地公告,http://industrydown.fang.com/tudi/20151102/qinggongzituguagao[2015]8hao.docx,暂无,100万元,暂无
新都区大丰街道高家社区2社及社区集体，甫家社区1、2、3、4社及社区集体,地块编号：XD2015-23（252/21）,四川,成都,189024,189024,暂无,暂无,①、②号地：≥1，≤4；③号地：≥1，≤4；④号地：≥1，≤3.5；⑤号地：≥1，≤5；⑥号地：≤1；⑦号地：容积率结合方案合理性确定,暂无,暂无,①、②号地：≤20；③号地：≤30；④号地：≤60；⑤号地：≤40（其中高层主体建筑密度≤22）；⑥号地：≤40；⑦号地：≤35,≤833（绝对海拔高程），其中⑥号地建筑高度≤24,拍卖,住宅用地70年、商业用地40年、服务设施用地50年,新都区大丰街道高家社区2社及社区集体，甫家社区1、2、3、4社及社区集体,新都区大丰街道高家社区2社及社区集体，甫家社区1、2、3、4社及社区集体,城镇混合住宅用地、商服用地,已成交,保利(成都)实业有限公司,2015/12/2,2015/12/2,2015/12/2,成都市高新区天府大道北段966号天府国际金融中心7号楼,95268万元,124756万元,暂无,30.95%,新都区大丰街道高家社区2社及社区集土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]50hao.docx,028-85987887,38107万元,暂无
崇州市街子镇天顺村（三街路北侧）,地块编号：CZ2015-06（211/252）,四川,成都,17152,17152,8576,暂无,≤0.5,暂无,暂无,≤35,≤12,拍卖,商业用地40年、住宅用地70年,崇州市街子镇天顺村（三街路北侧）,崇州市街子镇天顺村（三街路北侧）,商业兼容住宅,流拍,暂无,2015/12/2,2015/12/2,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,1647万元,暂无,暂无,暂无,崇州市街子镇天顺村（三街路北侧）土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]50hao.docx,028-85987887,330万元,暂无
崇州市崇阳镇永康东路与经四路交汇处西南侧（崇阳镇仁里社区1、2组）,地块编号：CZ2015-05（252/211）,四川,成都,15543,15543,38858,暂无,≥1，≤2.5,暂无,暂无,≤30,≤100,拍卖,住宅用地70年、商业用地40年,崇州市崇阳镇永康东路与经四路交汇处西南侧（崇阳镇仁里社区1、2组）,崇州市崇阳镇永康东路与经四路交汇处西南侧（崇阳镇仁里社区1、2组）,住宅兼容商业,已成交,崇州中胜实业有限公司,2015/12/2,2015/12/2,2015/12/2,成都市高新区天府大道北段966号天府国际金融中心7号楼,4663万元,4663万元,1200元,暂无,崇州市崇阳镇永康东路与经四路交汇处土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]50hao.docx,028-85987887,940万元,暂无
金堂县恒大以西杨柳安置房北侧,地块编号：JT2015-09(252),四川,成都,39891,39891,79781,暂无,＞1，≤2,暂无,暂无,≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地40年,金堂县恒大以西杨柳安置房北侧,金堂县恒大以西杨柳安置房北侧,城镇混合住宅用地,已成交,中节能(成都)环保生态产业有限公司,2015/12/1,2015/12/1,2015/12/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,7420万元,7420万元,930元,暂无,金堂县恒大以西杨柳安置房北侧土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]48hao.docx,028-85987887,1860万元,暂无
天府新区兴隆街道三根松村三、五组,地块编号：TF（21/251）2015-28,四川,成都,126101,126101,295600,暂无,地块1≥1，≤2.5、地块5、7≥1，≤2、地块6≥1，≤3,暂无,暂无,地块1≤30%；地块5、7≤45；地块6≤25,满足航空限高要求,拍卖,商业用地40年、住宅用地70年,天府新区兴隆街道三根松村三、五组,天府新区兴隆街道三根松村三、五组,商业用地、住宅用地,已成交,成都天投地产开发有限公司,2015/12/1,2015/12/1,2015/12/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,28373万元,28373万元,960元,暂无,天府新区兴隆街道三根松村三、五组土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]48hao.docx,028-85987887,15000万元,暂无
金堂县恒大以西杨柳安置房北侧，24米规划道路东侧,地块编号：JT2015-08(252),四川,成都,43321,43321,86643,暂无,＞1，≤2,暂无,暂无,≤35,满足航空限高要求,拍卖,住宅用地70年、商业用地40年,金堂县恒大以西杨柳安置房北侧，24米规划道路东侧,金堂县恒大以西杨柳安置房北侧，24米规划道路东侧,城镇混合住宅用地,已成交,中节能(成都)环保生态产业有限公司,2015/12/1,2015/12/1,2015/12/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,8058万元,8058万元,930元,暂无,金堂县恒大以西杨柳安置房北侧，24土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]48hao.docx,028-85987887,2020万元,暂无
天府新区正兴街道秦皇寺村五组、凉风顶村六组，兴隆街道罗家店村二组,地块编号：TF（21/251）：2015-26,四川,成都,38127,38127,190000,暂无,≥1.02，≤4.98,暂无,≥70,≤40,满足航空限高要求,拍卖,商业用地40年、住宅用地70年,天府新区正兴街道秦皇寺村五组、凉风顶村六组，兴隆街道罗家店村二组,天府新区正兴街道秦皇寺村五组、凉风顶村六组，兴隆街道罗家店村二组,商业用地、住宅用地,已成交,成都中铁天圆房地产有限公司,2015/12/1,2015/12/1,2015/12/1,成都市高新区天府大道北段966号天府国际金融中心7号楼,14298万元,14298万元,753元,暂无,天府新区正兴街道秦皇寺村五组、凉风土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]48hao.docx,028-85987887,7200万元,暂无
郫县红光镇济阳村一、七社，长生村二社,地块编号：PGZ土挂2015020,四川,成都,84993,84993,212482,暂无,大于或等于1.2并且小于或等于2.5,暂无,暂无,暂无,暂无,挂牌,50年,郫县红光镇济阳村一、七社，长生村二社,郫县红光镇济阳村一、七社，长生村二社,工业用地,已成交,成都联东金顺实业有限公司,2015/11/20,2015/11/30,2015/11/30,郫县德源镇红旗大道221号综合楼一楼,暂无,2499万元,118元,暂无,郫县红光镇济阳村一、七社，长生村二土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=25a64d39-0823-4928-a240-098caad99fe2&sitePath=,暂无,630万元,暂无
成华区青龙街道一里塘社区4组、7组,地块编号：CH22(252):2015-064,四川,成都,17160,17160,34319,暂无,≤2,暂无,≤10,≤30,≤835（绝对海拔高度）,拍卖,住宅用地70年，商业用地?40年,成华区青龙街道一里塘社区4组、7组,成华区青龙街道一里塘社区4组、7组,城镇混合住宅用地,未成交,暂无,2015/11/18,2015/11/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,10296万元,暂无,暂无,暂无,成华区青龙街道一里塘社区4组、7组土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]44hao.docx,028-85987887,2600万元,暂无
成华区圣灯街道人民塘社区5组、人民塘社区集体,地块编号：CH19(252):2015-061,四川,成都,20000,20000,59999,暂无,≤3,暂无,≤10,≤22,≤835（绝对海拔高度）,拍卖,"住宅用地70年,商业用地?40年",成华区圣灯街道人民塘社区5组、人民塘社区集体,成华区圣灯街道人民塘社区5组、人民塘社区集体,城镇混合住宅用地,未成交,暂无,2015/11/18,2015/11/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,18000万元,暂无,暂无,暂无,成华区圣灯街道人民塘社区5组、人民土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]44hao.docx,028-85987887,5100万元,暂无
成华区青龙街道一里塘社区4组、5组,地块编号：CH20(252):2015-062,四川,成都,13597,13597,27194,暂无,≤2,暂无,≤10,≤30,≤835（绝对海拔高度）,拍卖,住宅用地70年，商业用地?40年,成华区青龙街道一里塘社区4组、5组,成华区青龙街道一里塘社区4组、5组,城镇混合住宅用地,未成交,暂无,2015/11/18,2015/11/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,8158万元,暂无,暂无,暂无,成华区青龙街道一里塘社区4组、5组土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]44hao.docx,028-85987887,2100万元,暂无
成华区青龙街道一里塘社区4组、5组、6组、7组,地块编号：CH21(252):2015-063,四川,成都,12527,12527,25055,暂无,≤2,暂无,≤10,≤30,≤835（绝对海拔高度）,拍卖,住宅用地70年，商业用地40年,成华区青龙街道一里塘社区4组、5组、6组、7组,成华区青龙街道一里塘社区4组、5组、6组、7组,城镇混合住宅用地,未成交,暂无,2015/11/18,2015/11/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,7516万元,暂无,暂无,暂无,成华区青龙街道一里塘社区4组、5组土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]44hao.docx,028-85987887,1900万元,暂无
成华区圣灯街道人民塘社区5组,地块编号：CH18(252):2015-060,四川,成都,13333,13333,40000,暂无,≤3,暂无,≤10,≤22,≤835（绝对海拔高度）,拍卖,住宅用地70年，商业用地40年,成华区圣灯街道人民塘社区5组,成华区圣灯街道人民塘社区5组,城镇混合住宅用地,未成交,暂无,2015/11/18,2015/11/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,12000万元,暂无,暂无,暂无,成华区圣灯街道人民塘社区5组土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]44hao.docx,028-85987887,3400万元,暂无
武侯区晋阳街道办事处沙堰村一组,地块编号：WH09(252/21):2015-068,四川,成都,11416,11416,27399,暂无,≤2.4,暂无,暂无,≤26,≤65,拍卖,商业用地40年，住宅用地70年,武侯区晋阳街道办事处沙堰村一组,武侯区晋阳街道办事处沙堰村一组,城镇混合住宅用地，商服用地,已成交,成都进达合能置业有限公司,2015/11/27,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,7962万元,8768万元,3200元,10.12%,武侯区晋阳街道办事处沙堰村一组土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,2000万元,暂无
成华区龙潭街道秀水社区3、4组，保平社区5、10组,地块编号：CH23(252):2015-071,四川,成都,90653,90653,337525,暂无,地块1≤1.38，地块2≤2.34,暂无,地块1≥15，≤20；地块2≥10，≤20,地块1≤20；地块2≤20,≤835（绝对海拔高程）,拍卖,住宅用地70年商业用地40年,成华区龙潭街道秀水社区3、4组，保平社区5、10组,成华区龙潭街道秀水社区3、4组，保平社区5、10组,城镇混合住宅用地,已成交,中铁房地产集团四川有限公司,2015/11/27,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,102608万元,102608万元,3040元,暂无,成华区龙潭街道秀水社区3、4组，保土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,26000万元,暂无
武侯区机投桥街道果堰村11组,地块编号：WH08(252/211):2015-067,四川,成都,18530,18530,55590,暂无,≤3,暂无,≤50,≤22,≤558（绝对海拔高程）,拍卖,住宅用地70年，商业用地40年,武侯区机投桥街道果堰村11组,武侯区机投桥街道果堰村11组,城镇混合住宅用地、商业用地,已成交,中海佳诚(成都)房地产开发有限公司,2015/11/27,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,16677万元,32798万元,5900元,96.67%,武侯区机投桥街道果堰村11组土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,4200万元,暂无
青羊区苏坡街道办事处百仁社区4、5、6组，龙嘴社区3组,地块编号：QY13(211):2015-069,四川,成都,36885,36885,92212,暂无,≤2.5,暂无,暂无,≤57,≤24,拍卖,40年,青羊区苏坡街道办事处百仁社区4、5、6组，龙嘴社区3组,青羊区苏坡街道办事处百仁社区4、5、6组，龙嘴社区3组,商业用地,已成交,成都太行瑞宏房地产开发有限公司,2015/11/27,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,27664万元,27664万元,3000元,暂无,青羊区苏坡街道办事处百仁社区4、5土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,7000万元,暂无
高新区西部园区（原郫县德源镇青龙村1、2社）,地块编号：GX2015-35(221),四川,成都,20000,20000,40000,暂无,≥1.2，≤2,暂无,暂无,≥40,≤100,挂牌,50年,高新区西部园区（原郫县德源镇青龙村1、2社）,高新区西部园区（原郫县德源镇青龙村1、2社）,工业用地,已成交,成都锐思环保技术股份有限公司,2015/10/20,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,960万元,960万元,240元,暂无,高新区西部园区（原郫县德源镇青龙村土地公告,http://industrydown.fang.com/tudi/20150918/chenggongzituguagao[2015]34hao.docx,028-85987887,290万元,暂无
青羊区苏坡街道清波村3、4组,地块编号：QY14(252):2015-070,四川,成都,25347,25347,50693,暂无,≥1，≤2,暂无,≤10,≤30,≤55.7,拍卖,住宅用地70年商业用地40年,青羊区苏坡街道清波村3、4组,青羊区苏坡街道清波村3、4组,城镇混合住宅用地,已成交,四川蓝光和骏实业有限公司,2015/11/27,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,18250万元,40555万元,8000元,122.22%,青羊区苏坡街道清波村3、4组土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,4600万元,暂无
金牛区沙河源街道办事处友联社区2、8组,地块编号：JN16(21/252):2015-065,四川,成都,38458,38458,76917,暂无,≤2,暂无,≤50,≤40,≤208,拍卖,商业用地40年住宅70年,金牛区沙河源街道办事处友联社区2、8组,金牛区沙河源街道办事处友联社区2、8组,商服用地城镇混合住宅用地,流拍,暂无,2015/11/27,2015/11/27,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,25959万元,暂无,暂无,暂无,金牛区沙河源街道办事处友联社区2、土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]49hao.docx,028-85987887,6500万元,暂无
高新区中和街道龙灯山社区十二、十三、十六组,地块编号：GX2015-36(211/214),四川,成都,30064,30064,60128,暂无,≥1，≤2,暂无,≤20,≤40,≤50,挂牌,40年,高新区中和街道龙灯山社区十二、十三、十六组,高新区中和街道龙灯山社区十二、十三、十六组,其他商服用地、商业用地,已成交,西藏海思科药业集团股份有限公司,2015/10/20,2015/11/27,2015/11/27,成都市高新区天府大道北段966号天府国际金融中心7号楼,6494万元,6494万元,1080元,暂无,高新区中和街道龙灯山社区十二、十三土地公告,http://industrydown.fang.com/tudi/20150918/chenggongzituguagao[2015]34hao.docx,028-85987887,1900万元,暂无
天府新区兴隆街道三根松村三、五组,地块编号：TF（252)2015-27,四川,成都,156856,155200,387800,1656,≥1，≤2.5,暂无,暂无,≤30%,满足区域城市设计要求,拍卖,住宅70年、商业40年,天府新区兴隆街道三根松村三、五组,天府新区兴隆街道三根松村三、五组,城镇混合住宅用地,已成交,成都中铁天圆房地产有限公司,2015/11/26,2015/11/26,2015/11/26,成都市高新区天府大道北段966号天府国际金融中心7号楼,34902万元,34902万元,900元,暂无,天府新区兴隆街道三根松村三、五组土地公告,http://industrydown.fang.com/tudi/20151109/chenggongzitupaigao[2015]47hao.docx,028-85987887,8800万元,暂无
青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组、华家村5组）,地块编号：QP2014-2（251）,四川,成都,34336,34336,51504,暂无,＞1.≤1.5,暂无,暂无,≤30,暂无,拍卖,住宅70年，商业40年,青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组、华家村5组）,青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组、华家村5组）,二类居住用地,已成交,成都市融禾现代农业发展有限公司,2015/11/25,2015/11/25,2015/11/25,成都市高新区天府大道北段966号天府国际金融中心7号楼,4378万元,4378万元,850元,暂无,青白江区大石路以东、东方新型社区以土地公告,http://industrydown.fang.com/tudi/20151102/chonggongzitupaigao[2015]46hao.docx,028-85987887,1100万元,暂无
郫县犀浦镇五粮村四社、五社,地块编号：PX2015-13(211/252),四川,成都,46473,46473,185892,暂无,大于或等于1并且小于或等于4,暂无,暂无,暂无,暂无,拍卖,40年,郫县犀浦镇五粮村四社、五社,郫县犀浦镇五粮村四社、五社,其他商服用地,流拍,暂无,2015/11/25,2015/11/25,暂无,成都市高新区天府大道北段996号天府国际金融中心7号楼,300万元,暂无,暂无,暂无,郫县犀浦镇五粮村四社、五社土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=b550df90-5904-4458-83a2-1a23e118c822&sitePath=,暂无,5500万元,2
龙泉驿区龙泉街道华信大道以南,地块编号：LQ06(252/211):2015-06,四川,成都,49528,49528,123820,暂无,＞2，≤2.5,暂无,暂无,≤25,≤40,拍卖,住宅用地70年、商业用地40年,龙泉驿区龙泉街道华信大道以南,龙泉驿区龙泉街道华信大道以南,住宅用地、商业用地,流拍,暂无,2015/11/25,2015/11/25,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,17087万元,暂无,暂无,暂无,龙泉驿区龙泉街道华信大道以南土地公告,http://industrydown.fang.com/tudi/20151102/chonggongzitupaigao[2015]46hao.docx,028-85987887,5200万元,暂无
青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组，红瓦店社区集体）,地块编号：QP2014-1（251）,四川,成都,52014,52014,78021,暂无,＞1.≤1.5,暂无,暂无,≤30,暂无,拍卖,住宅70年，商业40年,青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组，红瓦店社区集体）,青白江区大石路以东、东方新型社区以南（青白江区祥福镇东方村12组，红瓦店社区集体）,二类居住用地,已成交,成都市融禾现代农业发展有限公司,2015/11/25,2015/11/25,2015/11/25,成都市高新区天府大道北段966号天府国际金融中心7号楼,6632万元,6632万元,850元,暂无,青白江区大石路以东、东方新型社区以土地公告,http://industrydown.fang.com/tudi/20151102/chonggongzitupaigao[2015]46hao.docx,028-85987887,1700万元,暂无
天府新区正兴街道秦皇寺村一、二、三组,地块编号：TF(21):2015-23,四川,成都,37864,35700,196300,2164,≤5.5,暂无,暂无,≤45,满足航空限高要求,挂牌,40年,天府新区正兴街道秦皇寺村一、二、三组,天府新区正兴街道秦皇寺村一、二、三组,商业用地,流拍,暂无,2015/11/12,2015/11/25,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,8032万元,暂无,暂无,暂无,天府新区正兴街道秦皇寺村一、二、三土地公告,http://industrydown.fang.com/tudi/20151021/chenggongzituguagao(2015)39hao.docx,028-85987887,2100万元,暂无
天府新区新兴街道孔雀村十组,地块编号：TF(221):2015-24,四川,成都,20144,20144,21000,暂无,≤1.04,暂无,暂无,≤40,暂无,挂牌,50年,天府新区新兴街道孔雀村十组,天府新区新兴街道孔雀村十组,工业用地,已成交,四川省贝克森中以现代农业有限公司,2015/11/12,2015/11/25,2015/11/25,成都市高新区天府大道北段966号天府国际金融中心7号楼,483万元,483万元,230元,暂无,天府新区新兴街道孔雀村十组土地公告,http://industrydown.fang.com/tudi/20151021/chenggongzituguagao(2015)39hao.docx,028-85987887,121万元,暂无
大邑县晋原街道建华片区,地块编号：DY1-54-104,四川,成都,1752,1752,3504,暂无,小于或等于2,大于或等于20,暂无,小于或等于50,小于或等于24,挂牌,50年,大邑县晋原街道建华片区,大邑县晋原街道建华片区,医卫慈善用地,已成交,洪莉,2015/11/9,2015/11/23,2015/11/23,成都市公共资源交易服务中心,265万元,265万元,756元,暂无,大邑县晋原街道建华片区土地公告,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=434f0dea-01f8-4109-ab49-a8f388b96ccb&sitePath=,028-88265083,90万元,2
双流县九江街道万家社区5、6组,地块编号：SLG-(07/05)-2015-008,四川,成都,135974,135974,407922,暂无,＞1，≤3,暂无,暂无,≤30%,满足航空限高要求,拍卖,住宅用地?70年;商业用地40年,双流县九江街道万家社区5、6组,双流县九江街道万家社区5、6组,住宅用地兼容商服用地（兼容比例≤10%）,已成交,成都万科房地产有限公司,2015/11/19,2015/11/19,2015/11/19,成都市高新区天府大道北段966号天府国际金融中心7号楼,42832万元,42832万元,1050元,暂无,双流县九江街道万家社区5、6组土地公告,http://industrydown.fang.com/tudi/20151030/chengguozitupaigao[2015]45hao.docx,028-85987887,13000万元,暂无
